side,valid,response,response_time
right,True,right,5.4799995268695056e-05
left,True,right,3.650000144261867e-05
left,True,right,5.1099996198900044e-05
left,True,right,6.079999729990959e-05
left,True,left,3.3800009987317026e-05
right,True,left,3.959999594371766e-05
right,True,right,4.910001007374376e-05
right,True,right,3.650000144261867e-05
right,True,right,6.36000040685758e-05
left,True,left,5.149999924469739e-05
left,False,left,4.949999856762588e-05
right,True,left,6.53000024612993e-05
right,False,left,5.699999746866524e-05
right,False,left,3.7300007534213364e-05
right,True,right,4.400000034365803e-05
left,True,right,5.1700000767596066e-05
right,True,left,7.569999434053898e-05
left,True,right,3.880000440403819e-05
left,True,right,3.569999535102397e-05
left,False,left,4.0400002035312355e-05
