side,valid,response,response_time
left,True,left,8.270000398624688e-05
left,True,left,3.460000152699649e-05
right,True,right,0.00010540000221226364
right,True,right,6.289999873843044e-05
right,False,left,4.9700000090524554e-05
right,True,right,3.5599994589574635e-05
left,False,right,6.089999806135893e-05
right,True,left,4.1100007365457714e-05
left,True,right,3.4500000765547156e-05
left,True,left,8.390001312363893e-05
right,True,left,5.0699993153102696e-05
right,True,right,7.310000364668667e-05
right,True,left,0.00010849999671336263
right,False,left,4.809998790733516e-05
left,True,right,6.089999806135893e-05
left,False,right,8.129999332595617e-05
right,True,right,3.6999990697950125e-05
left,True,right,6.850001227576286e-05
left,True,left,3.750000905711204e-05
left,True,left,7.320000440813601e-05
