side,valid,response,response_time
left,True,left,4.919999628327787e-05
left,True,left,4.8000001697801054e-05
right,True,left,3.650000144261867e-05
left,True,left,3.339999238960445e-05
right,False,right,3.6600002204068005e-05
right,True,right,3.9999998989515007e-05
right,True,left,4.9700000090524554e-05
right,True,left,3.959999594371766e-05
left,True,left,3.8700003642588854e-05
left,False,right,0.00034889999369625
left,True,right,5.830000736750662e-05
right,True,left,4.3100008042529225e-05
right,True,right,3.860000288113952e-05
left,True,left,3.0499999411404133e-05
right,False,right,3.789999755099416e-05
left,False,left,3.480000304989517e-05
right,True,right,5.629999213851988e-05
left,True,right,3.860000288113952e-05
right,True,left,3.9699996705166996e-05
left,True,left,5.200000305194408e-05
